Region,Year,Variant,F1,PR-AUC,PR-AUC Error
Central Asia,2021,FT-Transformer (global full),0.2771,0.3087,0.0146
Central Asia,2021,LSTM attention (global full),0.2865,0.2556,0.0128
Central Asia,2021,LSTM embedding fusion (global full),0.3064,0.3108,0.0033
Central Asia,2021,LSTM gated MoE (global full),0.2814,0.3118,0.0145
Central Asia,2021,LSTM static concat (global full),0.3214,0.3626,0.0117
Central Asia,2021,Minimal MLP (global full),0.3123,0.2784,0.0102
Central Asia,2021,Spatial climate TSN embedding fusion (global full),0.3828,0.4134,0.0176
Central Asia,2021,Spatial climate TSN-MLP (ECMWF global full),0.2656,0.3337,0.0118
Central Asia,2021,Spatial climate TSN-MLP (global full),0.4121,0.471,0.0181
Central Asia,2021,Spatial climate TSN-MLP no tp (ERA5 global full),0.4012,0.4507,0.0103
Central Asia,2021,TemporalConvNet / TSN-MLP (global full),0.2306,0.3458,0.0095
Central Asia,2021,TemporalConvNet embedding fusion (global full),0.2598,0.3974,0.0147
Central Asia,2022,FT-Transformer (global full),0.25,0.2941,0.0115
Central Asia,2022,LSTM attention (global full),0.2591,0.2711,0.0238
Central Asia,2022,LSTM embedding fusion (global full),0.2704,0.2083,0.0117
Central Asia,2022,LSTM gated MoE (global full),0.2572,0.3026,0.0106
Central Asia,2022,LSTM static concat (global full),0.2992,0.2956,0.017
Central Asia,2022,Minimal MLP (global full),0.2874,0.2797,0.0199
Central Asia,2022,Spatial climate TSN embedding fusion (global full),0.3523,0.4778,0.0155
Central Asia,2022,Spatial climate TSN-MLP (ECMWF global full),0.2407,0.4447,0.0175
Central Asia,2022,Spatial climate TSN-MLP (global full),0.371,0.5215,0.012
Central Asia,2022,Spatial climate TSN-MLP no tp (ERA5 global full),0.364,0.5208,0.0093
Central Asia,2022,TemporalConvNet / TSN-MLP (global full),0.1962,0.3076,0.013
Central Asia,2022,TemporalConvNet embedding fusion (global full),0.243,0.4154,0.0196
Central Asia,2023,FT-Transformer (global full),0.161,0.2994,0.0143
Central Asia,2023,LSTM attention (global full),0.1756,0.2761,0.0331
Central Asia,2023,LSTM embedding fusion (global full),0.2077,0.1843,0.0098
Central Asia,2023,LSTM gated MoE (global full),0.164,0.2728,0.0097
Central Asia,2023,LSTM static concat (global full),0.1894,0.2981,0.0073
Central Asia,2023,Minimal MLP (global full),0.2426,0.3097,0.0162
Central Asia,2023,Spatial climate TSN embedding fusion (global full),0.2597,0.251,0.0191
Central Asia,2023,Spatial climate TSN-MLP (ECMWF global full),0.1607,0.3094,0.0261
Central Asia,2023,Spatial climate TSN-MLP (global full),0.2905,0.394,0.0112
Central Asia,2023,Spatial climate TSN-MLP no tp (ERA5 global full),0.2881,0.3956,0.0205
Central Asia,2023,TemporalConvNet / TSN-MLP (global full),0.1313,0.2545,0.0132
Central Asia,2023,TemporalConvNet embedding fusion (global full),0.1569,0.1914,0.0068
Central Asia,2024,FT-Transformer (global full),0.1001,0.1982,0.0312
Central Asia,2024,LSTM attention (global full),0.1055,0.3382,0.0431
Central Asia,2024,LSTM embedding fusion (global full),0.1192,0.1257,0.0169
Central Asia,2024,LSTM gated MoE (global full),0.1129,0.2397,0.0173
Central Asia,2024,LSTM static concat (global full),0.1273,0.2111,0.036
Central Asia,2024,Minimal MLP (global full),0.1557,0.2331,0.0097
Central Asia,2024,Spatial climate TSN embedding fusion (global full),0.1864,0.2916,0.031
Central Asia,2024,Spatial climate TSN-MLP (ECMWF global full),0.0894,0.3003,0.0502
Central Asia,2024,Spatial climate TSN-MLP (global full),0.2231,0.3612,0.0162
Central Asia,2024,Spatial climate TSN-MLP no tp (ERA5 global full),0.1974,0.3621,0.0196
Central Asia,2024,TemporalConvNet / TSN-MLP (global full),0.0673,0.286,0.0252
Central Asia,2024,TemporalConvNet embedding fusion (global full),0.0847,0.2312,0.0114
Central Asia,2025,FT-Transformer (global full),0.1508,0.2015,0.0266
Central Asia,2025,LSTM attention (global full),0.1557,0.153,0.0118
Central Asia,2025,LSTM embedding fusion (global full),0.1672,0.1535,0.0161
Central Asia,2025,LSTM gated MoE (global full),0.1674,0.1853,0.0061
Central Asia,2025,LSTM static concat (global full),0.1826,0.1818,0.0255
Central Asia,2025,Minimal MLP (global full),0.1848,0.18,0.0112
Central Asia,2025,Spatial climate TSN embedding fusion (global full),0.1029,0.1053,0.0138
Central Asia,2025,Spatial climate TSN-MLP (ECMWF global full),0.1427,0.1814,0.0189
Central Asia,2025,Spatial climate TSN-MLP (global full),0.136,0.1377,0.016
Central Asia,2025,Spatial climate TSN-MLP no tp (ERA5 global full),0.1462,0.156,0.0204
Central Asia,2025,TemporalConvNet / TSN-MLP (global full),0.1167,0.1936,0.0151
Central Asia,2025,TemporalConvNet embedding fusion (global full),0.1405,0.1919,0.016
Eastern Siberia,2021,FT-Transformer (global full),0.6875,0.6485,0.0038
Eastern Siberia,2021,LSTM attention (global full),0.7113,0.6686,0.0039
Eastern Siberia,2021,LSTM embedding fusion (global full),0.7224,0.6686,0.0047
Eastern Siberia,2021,LSTM gated MoE (global full),0.7202,0.6918,0.0037
Eastern Siberia,2021,LSTM static concat (global full),0.7264,0.6432,0.0014
Eastern Siberia,2021,Minimal MLP (global full),0.7229,0.6738,0.0034
Eastern Siberia,2021,Spatial climate TSN embedding fusion (global full),0.7996,0.8273,0.0033
Eastern Siberia,2021,Spatial climate TSN-MLP (ECMWF global full),0.702,0.701,0.0036
Eastern Siberia,2021,Spatial climate TSN-MLP (global full),0.8128,0.8374,0.0018
Eastern Siberia,2021,Spatial climate TSN-MLP no tp (ERA5 global full),0.8004,0.8167,0.0034
Eastern Siberia,2021,TemporalConvNet / TSN-MLP (global full),0.6749,0.6455,0.0038
Eastern Siberia,2021,TemporalConvNet embedding fusion (global full),0.6814,0.6506,0.0029
Eastern Siberia,2022,FT-Transformer (global full),0.2787,0.1654,0.0056
Eastern Siberia,2022,LSTM attention (global full),0.2829,0.1531,0.0026
Eastern Siberia,2022,LSTM embedding fusion (global full),0.283,0.1756,0.0022
Eastern Siberia,2022,LSTM gated MoE (global full),0.2888,0.1883,0.0073
Eastern Siberia,2022,LSTM static concat (global full),0.2974,0.1733,0.0033
Eastern Siberia,2022,Minimal MLP (global full),0.3034,0.1868,0.0036
Eastern Siberia,2022,Spatial climate TSN embedding fusion (global full),0.571,0.5479,0.0035
Eastern Siberia,2022,Spatial climate TSN-MLP (ECMWF global full),0.2645,0.1887,0.0032
Eastern Siberia,2022,Spatial climate TSN-MLP (global full),0.559,0.5347,0.0099
Eastern Siberia,2022,Spatial climate TSN-MLP no tp (ERA5 global full),0.5434,0.5102,0.0087
Eastern Siberia,2022,TemporalConvNet / TSN-MLP (global full),0.2526,0.1689,0.0047
Eastern Siberia,2022,TemporalConvNet embedding fusion (global full),0.2536,0.1992,0.0053
Eastern Siberia,2023,FT-Transformer (global full),0.2331,0.2261,0.0082
Eastern Siberia,2023,LSTM attention (global full),0.2281,0.1804,0.0059
Eastern Siberia,2023,LSTM embedding fusion (global full),0.261,0.201,0.0086
Eastern Siberia,2023,LSTM gated MoE (global full),0.2666,0.2859,0.0114
Eastern Siberia,2023,LSTM static concat (global full),0.2747,0.2301,0.0083
Eastern Siberia,2023,Minimal MLP (global full),0.2671,0.2578,0.0131
Eastern Siberia,2023,Spatial climate TSN embedding fusion (global full),0.4683,0.5644,0.0178
Eastern Siberia,2023,Spatial climate TSN-MLP (ECMWF global full),0.2666,0.2492,0.0074
Eastern Siberia,2023,Spatial climate TSN-MLP (global full),0.4624,0.5954,0.0103
Eastern Siberia,2023,Spatial climate TSN-MLP no tp (ERA5 global full),0.4516,0.5886,0.0089
Eastern Siberia,2023,TemporalConvNet / TSN-MLP (global full),0.2078,0.2288,0.0054
Eastern Siberia,2023,TemporalConvNet embedding fusion (global full),0.2398,0.1411,0.0013
Eastern Siberia,2024,FT-Transformer (global full),0.429,0.3671,0.0078
Eastern Siberia,2024,LSTM attention (global full),0.4671,0.3751,0.006
Eastern Siberia,2024,LSTM embedding fusion (global full),0.4666,0.3681,0.004
Eastern Siberia,2024,LSTM gated MoE (global full),0.4773,0.4059,0.0036
Eastern Siberia,2024,LSTM static concat (global full),0.4689,0.3822,0.0033
Eastern Siberia,2024,Minimal MLP (global full),0.4833,0.3832,0.0042
Eastern Siberia,2024,Spatial climate TSN embedding fusion (global full),0.6696,0.7074,0.0064
Eastern Siberia,2024,Spatial climate TSN-MLP (ECMWF global full),0.4863,0.3998,0.0083
Eastern Siberia,2024,Spatial climate TSN-MLP (global full),0.6614,0.6976,0.0055
Eastern Siberia,2024,Spatial climate TSN-MLP no tp (ERA5 global full),0.6684,0.6877,0.0027
Eastern Siberia,2024,TemporalConvNet / TSN-MLP (global full),0.4644,0.3952,0.0037
Eastern Siberia,2024,TemporalConvNet embedding fusion (global full),0.4094,0.3356,0.006
Eastern Siberia,2025,FT-Transformer (global full),0.395,0.3569,0.0071
Eastern Siberia,2025,LSTM attention (global full),0.4198,0.4201,0.0094
Eastern Siberia,2025,LSTM embedding fusion (global full),0.4006,0.2697,0.0096
Eastern Siberia,2025,LSTM gated MoE (global full),0.4377,0.4464,0.0088
Eastern Siberia,2025,LSTM static concat (global full),0.4633,0.4369,0.0034
Eastern Siberia,2025,Minimal MLP (global full),0.4361,0.444,0.0071
Eastern Siberia,2025,Spatial climate TSN embedding fusion (global full),0.0276,0.3671,0.0061
Eastern Siberia,2025,Spatial climate TSN-MLP (ECMWF global full),0.4274,0.385,0.0121
Eastern Siberia,2025,Spatial climate TSN-MLP (global full),0.0015,0.1344,0.0016
Eastern Siberia,2025,Spatial climate TSN-MLP no tp (ERA5 global full),0.0016,0.1105,0.0026
Eastern Siberia,2025,TemporalConvNet / TSN-MLP (global full),0.3471,0.5196,0.0098
Eastern Siberia,2025,TemporalConvNet embedding fusion (global full),0.4557,0.4515,0.0105
Europe,2021,FT-Transformer (global full),0.3367,0.2706,0.0117
Europe,2021,LSTM attention (global full),0.3833,0.3349,0.0158
Europe,2021,LSTM embedding fusion (global full),0.3505,0.2311,0.0031
Europe,2021,LSTM gated MoE (global full),0.3585,0.2871,0.0089
Europe,2021,LSTM static concat (global full),0.3679,0.3611,0.0149
Europe,2021,Minimal MLP (global full),0.3895,0.3495,0.0158
Europe,2021,Spatial climate TSN embedding fusion (global full),0.3251,0.3245,0.0079
Europe,2021,Spatial climate TSN-MLP (ECMWF global full),0.2924,0.3769,0.0166
Europe,2021,Spatial climate TSN-MLP (global full),0.2832,0.3003,0.0173
Europe,2021,Spatial climate TSN-MLP no tp (ERA5 global full),0.28,0.3093,0.0122
Europe,2021,TemporalConvNet / TSN-MLP (global full),0.2615,0.381,0.013
Europe,2021,TemporalConvNet embedding fusion (global full),0.2824,0.287,0.0206
Europe,2022,FT-Transformer (global full),0.2233,0.3346,0.0214
Europe,2022,LSTM attention (global full),0.2868,0.2797,0.0185
Europe,2022,LSTM embedding fusion (global full),0.2628,0.3264,0.0254
Europe,2022,LSTM gated MoE (global full),0.2638,0.3616,0.034
Europe,2022,LSTM static concat (global full),0.3235,0.3181,0.0281
Europe,2022,Minimal MLP (global full),0.2933,0.2581,0.0161
Europe,2022,Spatial climate TSN embedding fusion (global full),0.3785,0.3541,0.0168
Europe,2022,Spatial climate TSN-MLP (ECMWF global full),0.1812,0.224,0.0288
Europe,2022,Spatial climate TSN-MLP (global full),0.3418,0.3949,0.0255
Europe,2022,Spatial climate TSN-MLP no tp (ERA5 global full),0.3568,0.4271,0.0277
Europe,2022,TemporalConvNet / TSN-MLP (global full),0.1568,0.2692,0.0209
Europe,2022,TemporalConvNet embedding fusion (global full),0.1771,0.2659,0.0268
